from,to,relationship
FK,1,1
IF,1,1
IF,2,1
MM,2,1
FK,3,1
NG,3,1
DB,4,1
FK,4,1
JKB,4,1
ND,4,1
MB,5,1
UF,5,1
MBE,6,1
TP,6,1
UF,7,1
WWM,7,1
TM,8,1
UT,8,1
TM,9,1
TP,9,1
WWM,9,1
BM,10,1
UF,10,1
FK,11,1
MB,11,1
MM,12,1
PA,12,1
CAG,13,1
TM,13,1
BG,14,1
UF,14,1
BM,15,1
WWM,15,1
FK,16,1
KD,16,1
MM,17,1
NG,17,1
BG,18,1
UF,18,1
BG,19,1
FK,19,1
KT,20,1
VB,20,1
JBS,21,1
MB,21,1
CE,22,1
DB,22,1
JBS,22,1
JW,22,1
KS,22,1
MAW,22,1
ND,22,1
UF,22,1
UT,22,1
RY,23,1
WWM,23,1
JJL,24,1
VK,24,1
MB,25,1
MM,25,1
KU,26,1
MM,26,1
RY,26,1
BG,27,1
DB,27,1
FK,27,1
MAW,27,1
MM,28,1
WWM,28,1
JKB,29,1
MM,29,1
JB,30,1
WWM,30,1
MM,31,1
VB,31,1
BG,32,1
UF,32,1
KD,33,1
MB,33,1
MB,34,1
UT,34,1
CAG,35,1
WWM,35,1
